Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2,Gene names
1.99,1.6151,0.9583,1.3133,1.1694,1.5356,1.0659,0.85175,NaN,1.512,1.8433,1.8932,1.2413,0.85736,1.2975,1.154,CG33054-RB
1.4664,1.4142,2.3595,2.7049,1.3647,NaN,1.9531,1.8385,NaN,1.5566,1.3664,0.99668,0.95593,2.1579,NaN,1.5342,
0.33032,0.57644,0.51302,0.58339,0.30504,0.2839,0.51058,0.58327,NaN,1.5637,0.33294,0.32934,0.63558,0.62583,1.0228,1.0098,Lsd-1
1.2002,NaN,NaN,NaN,NaN,0.91846,1.5606,1.6069,NaN,1.5858,1.2396,1.0723,1.5813,1.5374,NaN,1.6734,bun
0.65307,0.66564,1.3371,1.2643,0.62539,0.90909,0.92942,1.1749,NaN,1.6408,0.94685,0.62624,1.2963,1.4618,1.2091,1.4484,
NaN,NaN,2.6113,10.888,NaN,NaN,2.5507,2.6164,NaN,1.6472,4.7294,NaN,NaN,NaN,3.5561,3.685,Fdxh
2.232,1.9553,1.9213,2.594,1.5685,1.483,1.9659,2.6025,NaN,1.6503,1.5553,1.4068,1.9901,1.597,1.7969,2.0599,CG9917-RA
NaN,1.9876,1.4596,NaN,NaN,NaN,NaN,NaN,NaN,1.6704,NaN,NaN,1.5532,1.4295,1.3646,1.5764,Bet5
0.89837,0.91041,1.1456,NaN,NaN,NaN,NaN,NaN,NaN,1.6941,1.4565,1.2478,NaN,NaN,NaN,1.1904,Nup58
1.9812,2.3089,2.0558,2.2557,3.1661,4.5126,1.9386,2.3161,NaN,1.7505,3.3096,4.307,2.1278,2.9943,1.5881,1.775,Csp
NaN,2.388,2.4629,2.4752,2.6814,NaN,3.0027,2.3976,NaN,1.7873,1.9463,2.0732,2.2892,2.0254,1.9536,2.1612,
1.808,NaN,0.77155,0.67171,NaN,NaN,0.64796,0.73174,NaN,1.8386,2.9575,3.0277,0.74237,0.73762,0.76884,0.93842,
0.75363,0.57218,1.2626,1.4945,0.34006,0.72326,1.3877,1.6907,NaN,1.8949,0.44329,0.64315,5.9812,1.5366,1.1791,1.7147,
0.39009,0.43722,NaN,NaN,0.47449,0.33809,NaN,NaN,NaN,1.906,0.36389,0.82308,NaN,1.4172,NaN,0.91769,Mmp1
0.58134,0.44402,0.70228,1.0676,0.58434,0.50449,1.0448,1.0995,NaN,1.9289,0.67996,0.51719,1.1943,1.2307,1.3205,1.7031,mRpS22
2.0245,2.3559,1.2768,1.4297,NaN,NaN,1.3476,2.0026,NaN,2.0358,1.7487,1.9098,1.4187,1.602,NaN,1.7307,EG:132E8.3
1.1645,1.1454,1.9993,1.6621,1.2,0.94847,2.003,1.6829,NaN,2.1093,1.0936,1.1946,1.6146,1.7394,1.5353,1.6212,tsu
2.0469,1.7988,2.504,2.1691,1.2117,1.094,1.9041,1.839,NaN,2.1256,1.6699,1.2333,2.5276,2.5098,2.2701,2.4518,LSm3
1.3135,1.5449,0.59377,0.77358,1.1281,1.1964,0.92543,0.75222,NaN,2.2077,1.0878,4.4374,0.48475,0.49674,0.61532,0.55544,
1.0278,1.1999,1.8739,1.9582,1.4775,0.98255,1.7305,2.0452,1.8946,2.3164,1.3256,1.1866,1.9545,1.9576,NaN,1.9975,twr
0.66705,0.64446,1.2011,1.4681,0.59967,0.74618,1.3845,1.3364,NaN,2.3254,0.58079,0.59484,1.1681,1.1144,1.4477,1.9974,
NaN,NaN,2.2719,2.1923,NaN,2.2123,NaN,1.7669,NaN,2.4792,2.2592,2.5402,2.0213,2.2197,2.0867,2.2184,Tim8
3.174,1.8676,NaN,1.8548,3.1688,1.6044,NaN,2.0175,2.4843,2.4874,2.855,1.5746,2.3494,2.2773,NaN,2.4566,
1.1944,1.2593,1.6951,1.7587,1.3683,1.051,1.5319,1.4502,NaN,2.597,1.0321,1.1308,1.6082,1.6734,1.7199,2.1759,CG34191
0.71422,0.60373,1.1491,1.2111,0.45491,0.49638,1.1107,1.1569,NaN,2.5976,0.45652,0.78362,1.5586,1.6329,1.7292,1.8865,
6.6618,NaN,2.8483,2.8765,4.4885,NaN,1.3011,NaN,NaN,2.6043,2.7171,NaN,2.2297,NaN,2.1871,3.8814,GstE7
0.48643,0.40988,0.96741,0.72707,0.39273,0.33418,1.0228,1.0343,NaN,2.6114,0.37955,0.43233,1.1244,1.0299,1.3777,1.5055,mRpS9
1.2821,1.2184,NaN,0.62376,1.0448,NaN,0.67929,NaN,NaN,2.9423,1.4218,2.2984,NaN,0.72694,0.48186,0.35252,Tor
0.75893,0.64768,1.6803,1.5817,0.45276,0.38615,1.7326,1.3716,NaN,3.2731,0.47813,0.36738,1.7428,1.7536,2.2129,2.8963,mRpL40
2.7338,1.8245,3.2805,2.2333,1.7171,1.7329,3.202,3.5018,NaN,3.7108,2.6213,2.8112,2.8606,3.0969,5.9381,3.9966,
2.3924,2.9051,2.007,NaN,1.2664,1.0217,1.543,1.7077,1.93,4.1515,0.87512,2.4779,2.1825,1.6548,NaN,1.8228,
